Section,Row,Data Point,Definition / Notes,Implementation Status,Data Source,Computation Logic,Priority Level,Dependencies,Prototype Coverage,Additional Notes
Global Controls (Header),-,Banner / Sub-brand Name,Display current subbrand context,Complete,Static Config,Direct mapping from subbrand selection,P0,None,✅ Implemented,"Currently shows ""Analytics Dashboard"""
Global Controls (Header),-,Version Selector,Filter data by circular version (A/B/C),Complete,Firebase,Query versions by circular_id,P0,Circular ID mapping,✅ Implemented,Version dropdown populated from mock data
Global Controls (Header),-,Week Selector,Select analysis time period,Complete,Static/Computed,Generate week ranges from current date,P0,None,✅ Implemented,Uses 2025-W36 format with date ranges
Global Controls (Header),-,Store Selector,Filter by specific store location,Complete,Firebase,Query distinct store_ids,P1,Store ID standardization,✅ Implemented,Vertical stack layout with labels
Circular,Row 1,Traffic,Total site visits for selected period,Complete,GA4,SUM(session_count) WHERE date_range,P0,GA4 Integration,✅ Implemented,Renamed from Site Visits for clarity
Circular,Row 1,Engagement Rate,Percentage of visitors who interact with content,Complete,GA4 + Computed,"(circular_visits / site_visits) * 100",P0,GA4 Integration,✅ Implemented,Replaces original Engagement Rate
Circular,Row 1,Weekly Growth,Percentage change vs previous week,Complete,Computed,"((current_week - previous_week) / previous_week) * 100",P0,Historical data,✅ Implemented,New KPI for trend insight
Circular,Row 2,Trend Overview (4 weeks),Weekly performance comparison chart,Planned,GA4 + Computed,Rolling 4-week aggregation with weekly normalization,P1,Historical GA4 data,⚠️ Mock Data Only,Uses week_id for trend normalization
Circular,Row 2,Promotion Position Performance (PPP),Performance by position quartiles,Blocked,Computed + Generated,Generate position quartiles from composite scores,P2,Position ID generation,⚠️ Mock Data Only,Positions not present in Firebase
Circular,Row 2,Store Lift vs Engagement,Scatter plot: engagement rate vs conversion lift,Planned,GA4 + Firebase,"For each store: (engagement_pct, lift_pct, size)",P1,Store-level analytics,⚠️ Mock Data Only,Should use Add_to_list events
Category,Row 3,Category Performance (Engagement Share),Category distribution by engagement metrics,In Progress,Firebase + Computed,Group promotions by normalized category_id,P1,Category standardization,⚠️ Limited Coverage,Categories need vendor normalization
Category,Row 3,Top Categories by Avg Engagement,Ranking of best performing categories,In Progress,Firebase + Computed,"AVG(engagement_score) GROUP BY category_id ORDER BY DESC",P1,Category standardization,⚠️ Limited Coverage,Depends on normalized categories
Promotions,Row 4,Promotion Performance List,Ranked list of promotion performance,Complete,Firebase + Computed,"Composite score: CIV + (CC * 10) + (ATL * 50)",P0,Engagement metrics,✅ Implemented,Data grid with PrimeNG TreeTable
Promotions,Row 5,Size Class Mix,Distribution across S/M/L size classes,Planned,Firebase + Generated,"Classify LxH dimensions: S(<200px), M(200-400px), L(>400px)",P2,Size classification logic,❌ Not Implemented,Dynamic hXw based on grid settings
Promotions,Row 5,Best Performing Size Class,Top performing size by engagement,Planned,Computed,"MAX(AVG(engagement_score)) GROUP BY size_class",P2,Size classification,❌ Not Implemented,Depends on size class definition
Promotions,Row 5,Expanded Interaction Rate,Rate of card expansion/interaction,Planned,GA4,"(card_expand_events / card_view_events) * 100",P2,Event tracking setup,❌ Not Implemented,Card Click vs Card Add to List decision needed
Promotions,Row 5,Size Effect Index,Impact factor of promotion size on performance,Planned,Computed,"Correlation coefficient between size_class and engagement_score",P2,Size classification + stats,❌ Not Implemented,Requires statistical modeling
