Section,Row,Data Point,Definition / Notes,Implementation Status,Data Source,Computation Logic,Priority Level,Dependencies,Prototype Coverage,Real Content Field,Additional Notes
Global Controls (Header),-,Banner / Sub-brand Name,Display current subbrand context,Complete,Content Export,Direct mapping from campaign context,P0,None,✅ Implemented,campaign_id,Campaign ID available in export
Global Controls (Header),-,Version Selector,Filter data by circular version (A/B/C),Complete,Content Export + Generated,Generate versions from campaign_id variations,P0,Campaign grouping logic,✅ Implemented,campaign_id + suffix,Multiple campaigns create versions
Global Controls (Header),-,Week Selector,Select analysis time period,Complete,Content Export,Map start_date/end_date to week ranges,P0,Date range logic,✅ Implemented,start_date + end_date,Real date ranges: 2024-03-17 to 2027-03-23
Global Controls (Header),-,Store Selector,Filter by specific store location,Complete,Content Export,Query distinct store contexts from export,P1,Store field mapping,✅ Implemented,Not present in export,Store context may be campaign-level
Circular,Row 1,Traffic,Total site visits for selected period,Complete,GA4 + Content Export,SUM(session_count) WHERE campaign_id AND date_range,P0,GA4 + Content ID mapping,✅ Implemented,campaign_id (link key),Content ID bridges to analytics
Circular,Row 1,Engagement Rate,Percentage of visitors who interact with content,Complete,GA4 + Content Export,"(interactions / views) * 100 WHERE id IN content_export",P0,GA4 + Content ID mapping,✅ Implemented,id (promotion level),Individual promotion tracking
Circular,Row 1,Weekly Growth,Percentage change vs previous week,Complete,GA4 + Content Export + Computed,"((current_week - previous_week) / previous_week) * 100",P0,Historical data + Content mapping,✅ Implemented,start_date/end_date ranges,Time-based trend analysis
Circular,Row 2,Trend Overview (4 weeks),Weekly performance comparison chart,Planned,GA4 + Content Export,Rolling 4-week aggregation by campaign_id,P1,Historical GA4 + Content mapping,⚠️ Mock Data Only,campaign_id + date ranges,Content provides campaign context
Circular,Row 2,Promotion Position Performance (PPP),Performance by position quartiles,Updated,Content Export + Computed,Generate position from parent_id hierarchy + id sequence,P1,Position logic from hierarchy,⚠️ Mock Data Only,parent_id + id sequence,Hierarchical structure indicates positions
Circular,Row 2,Store Lift vs Engagement,Scatter plot: engagement rate vs conversion lift,Planned,GA4 + Content Export,"For each campaign: (engagement_pct, lift_pct, promotion_count)",P1,Store-level analytics + Content,⚠️ Mock Data Only,campaign_id (aggregation),Campaign-level store analysis
Category,Row 3,Category Performance (Engagement Share),Category distribution by engagement metrics,Updated,Content Export + GA4,"Group by Category field, calculate engagement per category",P0,GA4 integration,⚠️ Limited Coverage,Category,"Real categories: Drinks, Meat, Packaged Meats, Key"
Category,Row 3,Top Categories by Avg Engagement,Ranking of best performing categories,Updated,Content Export + GA4,"AVG(engagement_score) GROUP BY Category ORDER BY DESC",P0,GA4 integration,⚠️ Limited Coverage,Category,Direct category field available
