Section,Category,KPI_Title,Definition,Why_Important,Data_Points,Chart_Type,Number_Type,Inquiry_Scope,Inquiry_Lens,Inquiry_Metric,Inquiry_Description
Header,YTD Performance,TRAFFIC (YTD),Traffic (YTD) measures the cumulative number of circular views across all campaigns year-to-date providing total exposure volume,Essential baseline metric for measuring overall campaign reach and brand visibility; tracks aggregate performance trends over time,Cumulative circular views year-to-date,Large Number,Count,promotion,traffic,,Year-to-Date Total Traffic Analysis
Header,YTD Performance,VISITORS (YTD),Visitors (YTD) counts unique individuals who have viewed circulars year-to-date measuring actual audience reach beyond repeat views,Shows true audience penetration and market coverage; key for understanding brand awareness and customer acquisition effectiveness,Unique visitors year-to-date,Large Number,Count,promotion,traffic,visitor,Year-to-Date Unique Visitors Analysis
Header,YTD Performance,MARKETING HEALTH (YTD),Marketing Health (YTD) is a composite score measuring overall circular program effectiveness combining engagement quality and audience growth,Single north-star metric for marketing performance; indicates program health and optimization opportunities across all campaigns,Composite health score 0-100,Large Number,Score,promotion,performance,composite,Year-to-Date Marketing Health Score Analysis
Header,YTD Performance,YTD Shopper Reach,YTD Shopper Reach counts unique shoppers reached across all campaigns year-to-date measuring cumulative audience penetration,Shows total market reach achieved; critical for understanding brand awareness growth and campaign scale effectiveness,Unique shoppers reached YTD,Large Number,Count,promotion,traffic,shopper,Year-to-Date Shopper Reach Analysis
Header,YTD Performance,YTD Engagement Volume,YTD Engagement Volume measures total interactions (views clicks adds) across all campaigns year-to-date,Quantifies cumulative engagement activity; indicates overall program momentum and shopper interest trends,Total interactions YTD,Large Number,Count,promotion,engagement,,Year-to-Date Total Engagement Volume
Header,YTD Performance,YTD Add-to-List Total,YTD Add-to-List Total counts all add-to-list actions across campaigns year-to-date measuring conversion volume,Tracks cumulative conversion performance; directly correlates with downstream purchase intent and revenue impact,Total add-to-list actions YTD,Large Number,Count,promotion,engagement,add_to_list,Year-to-Date Add-to-List Actions
Header,YTD Performance,YTD Lift from Promotions,YTD Lift from Promotions measures incremental sales generated by promotional campaigns year-to-date versus baseline,Quantifies total promotional ROI; demonstrates concrete business value and revenue attribution of marketing efforts,Incremental sales lift YTD,Large Number,Currency,promotion,performance,lift,Year-to-Date Incremental Sales Lift
Header,YTD Performance,YTD ROI on Promotions,YTD ROI on Promotions calculates return on investment ratio for promotional spend year-to-date (sales lift / promotion costs),Essential profitability metric; shows financial efficiency of promotional investments and guides budget allocation,ROI ratio YTD,Large Number,Ratio,promotion,performance,roi,Year-to-Date ROI on Promotion Spend
Row 1,Digital Circular,PULSE SCORE,Pulse Score distills engagement into a single score for a circular blending exposure and actions into one comparable measure,Single north-star score summarizing circular engagement; fast quality read for overall performance,Composite engagement score 0-100,Large Number,Score,promotion,engagement,composite,Pulse Score Deep Dive - Engagement Performance
Row 1,Digital Circular,ENGAGEMENT RATE,Engagement Rate measures the percentage of circular viewers who took an action like clicking a promotion or adding to list,Quantifies circular effectiveness by showing conversion from exposure to action; key metric for optimization,Percentage of viewers who engaged,Large Number,Percentage,promotion,engagement,percentile,Engagement Rate Analysis
Row 1,Digital Circular,AUDIENCE REACH,Audience Reach is the count of unique shoppers who saw the circular measuring actual footprint rather than just views,Defines circular footprint with transparent audience sizing for clear campaign reach assessment,Unique shoppers who viewed circular,Large Number,Count,promotion,traffic,subbrand,Audience Reach Analysis
Row 2,Trends & Position,Trend Overview (4 weeks),Trend Overview plots composite scores over the last four weeks to visualize momentum,Shows short-term momentum up/down; helps spot patterns quickly for early trend identification,Daily composite scores over 4 weeks,Line Chart,Score Series,promotion,engagement,,Promotion Engagement Trend Analysis
Row 2,Trends & Position,Promotion Position Performance,Promotion Position Performance shows how promotions are distributed by position quartiles (Top/Upper-Mid/Lower-Mid/Bottom) in the circular,Surfaces positional bias impacting performance; enables fair comparison by normalizing for layout effects,Promotion count by position quartile,Stacked Bar Chart,Count Distribution,promotion,performance,position,Position Performance Analysis
Row 2,Trends & Position,Store Lift — Engagement vs Lift,Store Lift compares engagement rates across stores to identify outperformers and laggards relative to average performance,Highlights stores exceeding or falling behind expectations; informs field operations and localization strategies,Engagement % vs Lift % by store,Scatter Plot,Percentage Pairs,promotion,traffic,store,Store Performance Analysis
Row 3,Category Analytics,Category Performance (Engagement Share),Category Performance highlights which product categories shoppers engage with most ranked by add-to-list conversion rates,Identifies best and worst performing categories; informs merchandising priorities and category mix decisions,Engagement share by category,Donut Chart,Percentage Share,promotion,performance,,Category Performance Analysis
Row 3,Category Analytics,Category Lift vs Baseline Performance,Category Lift vs Baseline shows which categories over/under-perform vs their historical average highlighting seasonal effects and category momentum,Identifies categories gaining or losing traction; enables proactive merchandising adjustments and inventory planning,Lift percentage vs baseline by category,Bar Chart,Percentage,promotion,performance,lift,Category Lift vs Baseline Performance
Row 3,Category Analytics,Category Size vs Engagement Quality,Category Size vs Engagement Quality plots traffic volume against engagement rate with conversion as bubble size to identify high-opportunity categories,Reveals underperforming high-traffic categories and niche performers; guides resource allocation and promotional focus,Traffic volume vs engagement rate by category,Bubble Chart,Multi-metric,promotion,engagement,quality,Category Size vs Engagement Quality
Row 3,Category Analytics,Category Contribution Lift,Category Contribution Lift shows what percentage of total promotional lift comes from the top-performing category,Identifies category dependencies and concentration risk; guides diversification strategy and category investment priorities,Percentage contribution to total lift,Large Number,Percentage,category,performance,contribution,Top Category Contribution to Total Lift
Row 3,Category Analytics,Top Performing Categories,Top Performing Categories ranks categories by their composite performance scores highlighting best and worst performers,Prioritizes category focus areas; reveals which categories drive most value and should receive increased promotional support,Performance scores by category ranking,Bar Chart,Score Ranking,category,performance,performance_score,Category Performance Ranking
Row 3,Category Analytics,Category ATL Rate,Category ATL Rate measures the average add-to-list conversion rate across all product categories,Benchmarks category performance expectations; helps identify categories with conversion optimization opportunities,Average add-to-list rate by category,Large Number,Percentage,category,engagement,add_to_list,Category Average Add-to-List Rate
Row 3,Category Analytics,Category Trend (4 Weeks),Category Trend shows performance momentum for top categories over the past 4 weeks revealing directional changes,Identifies category momentum shifts; enables proactive response to emerging trends and declining performance,Performance scores over 4 weeks by category,Line Chart,Score Series,category,performance,,4-Week Category Performance Trends
Row 4,Promotion Performance,Promotion Performance,Promotion Performance ranks promotions based on composite or percentile scores,Ranks promotions by overall engagement; answers what's hot this week for optimization and storytelling,Composite/percentile scores by promotion,Microbar List,Score List,promotion,performance,composite,Promotion Performance Deep Dive
Row 4,Promotion Performance,Digital Circular Heat Map,Circular Heat Map visualizes density of shopper attention across positions in the circular layout using impression data,Shows where design placement impacts outcomes; aids layout optimization and position strategy decisions,Impression density by circular position,Heat Map,Density Visualization,promotion,performance,,Heat Map Analysis
Row 4,Individual Promotions,Top Quartile Promotions,Top Quartile Promotions shows the percentage of promotions performing in the top 25% of all campaigns,Measures promotional execution quality; higher percentages indicate better creative and strategic excellence,Percentage in top 25%,Large Number,Percentage,promotion,performance,percentile,Top 25% Promotion Performance Analysis
Row 4,Individual Promotions,Promotion-Level Sales Lift,Promotion-Level Sales Lift measures incremental sales generated by individual promotions versus their baseline performance,Identifies star-performing promotions; guides creative replication and optimization strategies for maximum impact,Sales lift per promotion,Bar Chart,Currency,promotion,performance,sales_lift,Individual Promotion Sales Lift Analysis
Row 4,Individual Promotions,Promotion Size Impact,Promotion Size Impact compares engagement and performance across different promotion card sizes (small medium large),Optimizes layout decisions; shows return on footprint investment and guides size allocation strategy,Performance by card size class,Bar Chart,Score by Size,promotion,performance,size_impact,Promotion Size vs Performance Impact
Row 4,Individual Promotions,Promotion Media Freshness,Promotion Media Freshness measures the percentage of promotions using current up-to-date creative assets and messaging,Ensures content relevance and quality; fresh assets typically drive higher engagement and conversion rates,Percentage with fresh assets,Large Number,Percentage,promotion,content,freshness,Promotion Asset Freshness Analysis
Row 5,Size & Deal Types,Size Class Mix,Size Class Mix shows the proportion of promotions by card size (Small/Medium/Large) to understand design footprint strategy,Provides context for performance comparison; shows how much space each size class occupies in the layout,Proportion by size class S/M/L,Donut Chart,Percentage Distribution,promotion,performance,sizeClass,Size Class Mix Analysis
Row 5,Size & Deal Types,Best Performing Size Class,Best Performing Size Class highlights which card size drives the most add-to-list actions relative to impressions received,Quantifies ROI of footprint decisions; supports optimal size allocation and design layout choices,Add-to-list rate by size class,Bar Chart,Percentage,promotion,performance,composite,Best Performing Size Classes
Row 5,Size & Deal Types,Expanded Interaction Rate,Expanded Interaction Rate measures the percentage of promotion cards that were expanded or interacted with by shoppers,Indicates content engagement depth; helps optimize card design for maximum interaction potential,Percentage of cards expanded,Large Number,Percentage,promotion,engagement,,Expanded Interaction Analysis
Row 5,Size & Deal Types,Deal Type Effectiveness,Deal Type Effectiveness compares performance across different promotional offer types (BOGO discounts etc.),Identifies which deal structures resonate most with shoppers; guides promotional strategy decisions,Performance score by deal type,Bar Chart,Score by Type,promotion,performance,dealType,Deal Type Effectiveness Analysis
Row 6,Sharing Activity,Shared Promotions,Shared Promotions counts how many promotions were shared externally by shoppers through social or messaging platforms,Measures viral potential and organic reach amplification; identifies content that resonates beyond paid exposure,Count of shared promotions,Large Number,Count,promotion,engagement,,Shared Promotions Analysis
Row 6,Sharing Activity,Share Open Rate,Share Open Rate shows the percentage of shared promotion links that were actually opened by recipients,Measures effectiveness of shared content; indicates quality and relevance of virally distributed promotions,Percentage of shares opened,Large Number,Percentage,promotion,engagement,,Share Open Rate Analysis
Row 6,Sharing Activity,Share Add-to-List Rate,Share Add-to-List Rate measures conversion from shared promotions showing percentage of share opens that led to list adds,Quantifies end-to-end viral conversion; demonstrates business impact of social sharing and word-of-mouth marketing,Percentage of share opens converting,Large Number,Percentage,promotion,engagement,,Share Add-to-List Rate Analysis
